EFF_DATE,NAV_ID,NAV_TYPE,STATE_CODE,CITY,COUNTRY_CODE,NAME,STATE_NAME,REGION_CODE,LAT_HEMIS,LAT_DEG,LAT_MIN,LAT_SEC,LAT_DECIMAL,LONG_HEMIS,LONG_DEG,LONG_MIN,LONG_SEC,LONG_DECIMAL,ELEV,MAG_VARN,MAG_VARN_HEMIS,MAG_VARN_YEAR,ALT_CODE
2026-01-22,MCW,VOR/DME,IA,MASON CITY,US,MASON CITY,IOWA,ACE,N,43,5,41.1255,43.09475708,W,93,19,47.5405,-93.32987236,1208.6,6,E,1965,VH
2026-01-22,MD,NDB,IL,CARBONDALE/MURPHYSBORO,US,CABBI,ILLINOIS,AGL,N,37,52,12.8608,37.87023911,W,89,14,43.9527,-89.24554241,409,1,W,2010,NA
2026-01-22,MD,NDB,PA,HARRISBURG,US,ENOLA,PENNSYLVANIA,AEA,N,40,14,46.9959,40.24638775,W,76,54,2.5029,-76.90069525,461,11,W,2005,NA
2026-01-22,MDO,VOR/DME,AK,MIDDLETON ISLAND,US,MIDDLETON ISLAND,ALASKA,AAL,N,59,25,18.496,59.42180444,W,146,21,0.054,-146.350015,133,18,E,2015,H
2026-01-22,MDT,VOT,PA,HARRISBURG,US,HARRISBURG,PENNSYLVANIA,AEA,N,40,11,50.604,40.19739,W,76,45,48.9943,-76.76360952,437.3,NA,NA,NA,NA
2026-01-22,MDY,NDB,QM,MIDWAY ATOLL,US,MIDWAY,MIDWAY ISLANDS,AWP,N,28,12,14.9,28.20413888,W,177,22,45.1,-177.37919444,16,10,E,1985,NA
2026-01-22,ME,NDB,NC,MAXTON,US,MAXTN,NORTH CAROLINA,ASO,N,34,43,59.4892,34.73319144,W,79,26,37.3377,-79.44370491,197.6,8,W,2005,NA
2026-01-22,MEI,VORTAC,MS,MERIDIAN,US,MERIDIAN,MISSISSIPPI,ASO,N,32,22,42.3805,32.37843902,W,88,48,15.3629,-88.80426747,577.8,5,E,1965,VH
2026-01-22,MEM,VORTAC,TN,MEMPHIS,US,MEMPHIS,TENNESSEE,ASO,N,35,0,54.3808,35.01510577,W,89,58,59.5258,-89.98320161,363.4,1,E,2000,H
2026-01-22,MEM,VOT,TN,MEMPHIS,US,MEMPHIS METROPOLITN,TENNESSEE,ASO,N,35,2,59.8,35.04994444,W,89,58,53.1,-89.98141666,315.2,NA,NA,NA,NA
